Key,Status,Assignee,Summary,Updated,Due,Priority,RawPath,SummaryPath,AttachmentCount,FormCount,CommentCount,HasNewComments,EscalationReady
HEAL-33150,Waiting for support,Sean Bingham,Cx Case Record Response,2026-05-21T18:04:06.635-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33150.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33150.md,5,1,8,false,
HEAL-32413,Escalated to Engineering,Sean Bingham,Need privilege change on SF so I can update lab vendor on lab draw opps after approved,2026-04-07T11:07:05.542-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32413.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32413.md,7,1,25,true,
HEAL-32623,Escalated to Engineering,Sean Bingham,DEA and DL don't populate in the pharmacy order ,2026-04-07T11:06:49.841-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32623.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32623.md,1,1,5,true,
HEAL-32789,Escalated to Engineering,Sean Bingham,Consents are not automatically sending to all new patients,2026-03-30T18:24:03.822-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32789.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32789.md,0,1,7,true,
HEAL-32826,Resolved,Sean Bingham,PAM Informed Consent Cases for Shopify Orders,2026-04-07T15:30:15.712-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32826.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32826.md,0,1,4,false,
HEAL-33040,Escalated to Engineering,Sean Bingham,Pt not synced to Shopify,2026-05-22T19:02:07.950-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33040.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33040.md,2,1,7,false,
HEAL-33049,Escalated to Engineering,Sean Bingham,PO dates wrong on Cre8 pharmacy when generating refill PO's,2026-04-17T20:30:54.720-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33049.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33049.md,0,1,10,true,
HEAL-33054,Escalated,Sean Bingham,Create a cardone ventures employee checkbox,2026-05-20T16:32:27.199-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33054.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33054.md,0,1,10,false,
HEAL-33066,In Progress,Sean Bingham,Price Book Creation,2026-05-20T15:28:19.183-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33066.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33066.md,2,1,12,false,
HEAL-33072,Escalated to Engineering,Sean Bingham,Opportunity staging,2026-05-14T17:07:53.207-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33072.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33072.md,0,1,7,false,
HEAL-33089,Escalated to Engineering,Sean Bingham,Precision Nutrition error,2026-05-06T14:46:02.259-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33089.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33089.md,0,1,12,false,
HEAL-33116,Resolved,Sean Bingham,"Adding ""Scheduled by"" into Consult Opp",2026-05-21T18:35:31.163-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33116.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33116.md,0,1,25,true,
HEAL-33316,Resolved,Sean Bingham,cannot generate pharmacy order ,2026-05-21T16:00:54.472-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33316.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33316.md,1,1,3,false,
HEAL-33364,Resolved,Sean Bingham,Credit employee account,2026-05-13T11:59:45.436-0400,,,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33364.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33364.md,0,1,4,true,
